id,message,sent_at,created_at,updated_at
153,Last night you left me buzzing babe.,2019-08-11 00:00:46.125033,2015-12-17 15:44:29.160472,2019-08-11 00:00:46.131245
40,"Yes, I desire you in ways that annoy you.",2018-08-25 21:00:36.341375,2014-03-30 21:13:18.307644,2018-08-25 21:00:36.352055
52,I am a good husband because I have a great wife.,2018-09-04 16:00:31.105804,2014-04-03 01:32:16.867402,2018-09-04 16:00:31.112104
161,"That night in your apartment, I remember thinking, ""This is love, this is love that I'm feeling"".",2019-09-25 21:00:50.401388,2015-12-25 05:20:41.95011,2019-09-25 21:00:50.427375
41,You are mean to me.  But I must have you!,2019-10-02 21:00:40.51055,2014-04-01 18:52:08.799543,2019-10-02 21:00:40.5152
71,You are all I want in a woman.  I can't imagine desiring another.,2019-10-08 11:00:38.820848,2014-07-06 19:10:20.421349,2019-10-08 11:00:38.827086
19,I don't think you will ever understand how much I'm addicted to you.,2019-11-14 16:00:20.140701,2014-03-30 20:53:44.559851,2019-11-14 16:00:20.146096
23,Any day that ends with you is a good day.,2019-11-27 21:00:51.24584,2014-03-30 20:57:06.668893,2019-11-27 21:00:51.250136
12,You are so beautiful I think about you all day long.,2019-12-03 00:01:53.836147,2014-03-30 20:46:33.87904,2019-12-03 00:01:53.841591
55,Please don't let the sun set before you tell me things are okay.,2019-12-10 16:00:28.780695,2014-04-08 16:14:24.972389,2019-12-10 16:00:28.792208
26,Being at ends with you makes me miserable.,2019-12-27 16:00:55.78485,2014-03-30 20:59:57.508643,2019-12-27 16:00:55.794523
61,I miss you babe.,2020-01-04 11:00:49.145405,2014-04-22 05:33:13.000989,2020-01-04 11:00:49.153702
39,God blessed me so much when he gave you to me.  Thank you for letting Him use you as a gift to me.,2020-01-05 00:00:26.96926,2014-03-30 21:10:58.625818,2020-01-05 00:00:26.973892
22,"Have a good day babe!  If not, I'll rub your nasty feet.",2020-01-08 11:00:40.88357,2014-03-30 20:56:17.42072,2020-01-08 11:00:40.898701
64,I almost wrecked today because this hot chic drove by in her white minivan.  Oh!  That was you!,2020-01-14 21:01:00.053765,2014-04-30 21:21:41.672732,2020-01-14 21:01:00.058216
48,That's the stuff.  You are the best babe!,2020-01-18 16:00:45.870561,2014-04-03 01:25:35.863873,2020-01-18 16:00:45.877665
57,You are the first thing I think of when I wake up.,2020-01-27 21:00:22.381058,2014-04-18 12:49:53.328821,2020-01-27 21:00:22.385913
60,You just turned 40 and I honestly have never found you more attractive.,2020-03-13 11:01:17.042796,2014-04-18 12:52:31.697677,2020-03-13 11:01:17.047909
201,"When things are not right with you, I am sad",2020-03-25 21:01:09.726301,2020-01-30 20:45:26.320883,2020-03-25 21:01:09.731499
123,You make beautiful things (kids) honey.,2020-04-05 00:01:00.380188,2015-02-02 00:03:09.980782,2020-04-05 00:01:00.38762
10,I adore you baby.,2020-04-11 21:00:16.604026,2014-03-30 20:44:30.100266,2020-04-11 21:00:16.609502
171,You just get sweeter all the time!,2020-04-13 21:00:15.402906,2016-07-18 11:04:15.142443,2020-04-13 21:00:15.409386
68,40 never looked so good!,2018-06-10 11:01:04.648092,2014-06-01 18:46:44.347022,2018-06-10 11:01:04.658033
21,Just know in my world the sun rises and falls with you.,2018-06-18 00:01:13.517416,2014-03-30 20:54:52.485269,2018-06-18 00:01:13.522122
56,Seriously.  GET OUT OF MY HEAD!!!  I love you babe.,2018-06-18 11:00:17.459732,2014-04-18 12:49:15.507161,2018-06-18 11:00:17.464335
58,You are the last thing I think of before I fall asleep.,2018-06-20 00:01:13.758164,2014-04-18 12:50:15.525161,2018-06-20 00:01:13.762542
17,I can't imagine my life without you.,2018-06-24 11:00:59.839725,2014-03-30 20:51:21.289629,2018-06-24 11:00:59.843949
49,Did you know that I worship you?,2018-06-24 16:01:35.998261,2014-04-03 01:27:44.749592,2018-06-24 16:01:36.003949
76,"You walked over and kissed me today and I remember thinking, ""My wife is so beautiful.""",2018-07-09 21:00:17.821797,2014-07-09 17:02:50.115738,2018-07-09 21:00:17.826104
34,"When you look in my eyes and tell me you love me, I feel like I can make it.",2018-07-11 21:00:35.13477,2014-03-30 21:06:26.415013,2018-07-11 21:00:35.157029
5,I love Theresa!,2018-07-31 21:01:12.543032,2014-03-30 18:43:16.476432,2018-07-31 21:01:12.547752
72,"Honey, you are smokin' hot!",2018-08-21 11:00:41.500673,2014-07-06 19:12:08.604743,2018-08-21 11:00:41.508507
65,Kissing you still makes me warm inside.,2018-09-07 21:01:02.38221,2014-05-14 06:29:41.917692,2018-09-07 21:01:02.388826
42,Just forget all that manly crap I just said.  I love you and I'll do anything to be with you.,2018-09-09 16:00:40.512902,2014-04-01 18:54:50.454786,2018-09-09 16:00:40.534615
